[0.00s -> 29.36s]  I don't know.
[5841.50s -> 5843.14s]  I have 10 tools, for example.
[5857.14s -> 5857.86s]  Snagit?
[5858.64s -> 5859.72s]  Snagit, yes.
[5863.16s -> 5863.92s]  Snagit.
[5864.46s -> 5865.64s]  Yeah, excuse me.
[5865.64s -> 5867.64s]  Mm-hmm.
[5867.64s -> 5869.64s]  Mm-hmm.
[5869.64s -> 5870.00s]  Mm-hmm.
[5870.00s -> 5870.98s]  Mm-hmm.
[5870.98s -> 5871.04s]  Mm-hmm.
[5871.04s -> 5871.30s]  Mm-hmm.
[5871.30s -> 5871.34s]  Mm-hmm.
[5871.34s -> 5871.40s]  Mm-hmm.
[5871.40s -> 5871.48s]  Mm-hmm.
[5871.50s -> 5899.82s]  for example instead to searching for
[5899.82s -> 5914.62s]  um instead to make 10 clicks for example one two three four for finding something i have a free tool
[5914.62s -> 5924.86s]  every thing okay i use this tool three or four years it is free and when i start these tools
[5925.66s -> 5928.22s]  i have a software here i type
[5930.30s -> 5938.46s]  two or three characters and i have the documents directly i i win a lot of time with these free
[5938.46s -> 5948.22s]  tools if uh if i cannot have these tools here i will have it yeah you know um for example
[5948.22s -> 5959.74s]  but i have 10 tools like this to to uh um yeah no i i hope you can work with those tools probably
[5959.82s -> 5967.50s]  is that it's not allowed to send documents to your private mail address so data linkage protection
[5967.50s -> 5975.58s]  so all mails are checked every outgoing mail is checked and of course it's if it's not confidential
[5975.58s -> 5985.82s]  then fine um but um and this legal text definitely you you can also access it uh at home yeah
[5986.46s -> 5988.78s]  the legal text is uh on the internet
[5990.70s -> 5999.18s]  um no problem and maybe yeah okay my uh goal is to um
[6001.34s -> 6007.90s]  to to to transmit look is um to use uh the tools uh
[6010.06s -> 6012.22s]  to uh to um
[6016.46s -> 6017.02s]  very quickly
[6019.82s -> 6023.50s]  example my private machine and configure my private machine
[6026.78s -> 6034.94s]  and like other missions with the spa region one on and federas one in brussels ethnic
[6036.06s -> 6043.42s]  luna i all the time using my previous machine and the it service configure my presence my
[6043.42s -> 6047.42s]  private machine with pulse um you know to connect it with the pm
[6048.54s -> 6049.10s]  and uh
[6050.78s -> 6051.82s]  uh
[6054.30s -> 6059.90s]  i haven't a problem we can check we can check if this is possible there is a possibility yeah
[6060.78s -> 6067.66s]  this can uh yeah it's a bringer because if if i good answers that the problem is we have
[6067.66s -> 6071.18s]  a problem of timing for these projects
[6073.50s -> 6078.46s]  and uh yeah but for the mind mapping it's solved
[6080.06s -> 6080.70s]  that's solved
[6083.02s -> 6083.74s]  that you have to
[6086.46s -> 6090.38s]  type type only through words and you have immediately direct link
[6091.34s -> 6097.82s]  yeah how many times and how many seconds do you save them so yeah
[6098.94s -> 6105.34s]  i know there is a kind of way of working but believe me after a few days you will find also a
[6105.34s -> 6106.14s]  way of working
[6107.50s -> 6107.98s]  um
[6109.82s -> 6115.90s]  but anyhow the tools which are really important the truth is very important that you that you need
[6118.62s -> 6124.46s]  we will probably be able to provide them so you have rather spikes
[6126.14s -> 6135.98s]  you have the the mind map solution that you that you asked if there are any other things that you
[6135.98s -> 6138.78s]  are thinking of that are really necessary
[6139.82s -> 6145.26s]  then let me know and then we will see if they can be provided
[6149.50s -> 6156.06s]  yes we we can check what uh what they do with uh all devices yeah
[6159.90s -> 6164.54s]  i understand the security is very important because it's a highly confidential
[6164.54s -> 6168.06s]  yeah and also not to bring in not to bring in uh
[6169.82s -> 6173.26s]  whatever yeah you should so it's tough for
[6178.62s -> 6179.98s]  okay but uh yeah okay
[6183.42s -> 6185.58s]  but anyhow you have to go through the text yeah
[6187.10s -> 6187.90s]  with or without
[6190.30s -> 6192.14s]  this is something that we cannot automate
[6195.26s -> 6195.76s]  okay
[6197.50s -> 6198.00s]  um
[6198.54s -> 6199.04s]  and then
[6199.04s -> 6200.80s]  the pieces of the puzzle will fall
[6205.12s -> 6206.40s]  and the more questions you have
[6208.88s -> 6215.28s]  you have to be understanding yeah yes i understand in the context and i
[6217.04s -> 6221.20s]  say the goal of this mission
[6225.04s -> 6225.60s]  this
[6229.04s -> 6236.08s]  mm-hmm
[6236.08s -> 6239.44s]  so thursday and friday you can't come on
[6239.44s -> 6241.04s]  mm-hmm
[6241.04s -> 6243.04s]  thursday friday
[6243.04s -> 6245.04s]  yes
[6245.04s -> 6247.04s]  and tomorrow
[6247.04s -> 6249.04s]  after tomorrow we will go to london
[6249.04s -> 6251.04s]  yes
[6251.04s -> 6253.04s]  yeah
[6253.04s -> 6257.04s]  i have to inform the colleagues of dotnet that you are not going to uh
[6257.04s -> 6259.04s]  um
[6259.04s -> 6261.04s]  to meet them on thursday
[6261.04s -> 6263.04s]  um
[6263.04s -> 6276.16s]  i'm just going to show you the status overview that i use as project manager to follow up on the program
[6282.80s -> 6284.00s]  and where your
[6284.00s -> 6286.00s]  are
[6286.00s -> 6286.80s]  all got it
[6286.80s -> 6287.76s]  um
[6287.76s -> 6288.16s]  um
[6288.16s -> 6292.16s]  and then the other part is
[6292.16s -> 6296.16s]  it's a year
[6296.16s -> 6300.16s]  so build a group register for information
[6300.16s -> 6304.16s]  so
[6304.16s -> 6308.16s]  work preparation data model and user stories
[6308.16s -> 6312.16s]  so this is the main part
[6312.16s -> 6316.16s]  and then build MVP, manual upload, reporting
[6316.16s -> 6320.16s]  so this is the
[6320.16s -> 6324.16s]  part where you
[6324.16s -> 6328.16s]  work preparation data model and user stories
[6328.16s -> 6332.16s]  and then build MVP
[6332.16s -> 6336.16s]  data entry and upload
[6336.16s -> 6340.16s]  yeah there will also be an export functionality
[6340.16s -> 6344.16s]  collect all the information in the contract
[6344.16s -> 6346.16s]  update legal contract
[6346.16s -> 6350.16s]  sign the contracts
[6350.16s -> 6354.16s]  supply chain for the critical functions
[6354.16s -> 6358.16s]  populate the register of information
[6362.16s -> 6366.16s]  but this is the pillar 4
[6366.16s -> 6368.16s]  managing third party risk
[6368.16s -> 6370.16s]  and we have all the other pillars
[6370.16s -> 6372.16s]  yeah
[6372.16s -> 6374.16s]  Dora is really really
[6374.16s -> 6376.16s]  crazy crazy about this
[6376.16s -> 6378.16s]  yeah
[6378.16s -> 6380.16s]  so these are new policies
[6380.16s -> 6382.16s]  that we have to write
[6388.16s -> 6390.16s]  yeah yeah yeah
[6390.16s -> 6392.16s]  and if
[6392.16s -> 6394.16s]  I need
[6394.16s -> 6396.16s]  to
[6396.16s -> 6398.16s]  install the tool I must
[6398.16s -> 6400.16s]  contact the
[6400.16s -> 6402.16s]  person you or
[6402.16s -> 6404.16s]  you can ask me if you know which one
[6404.16s -> 6406.16s]  then I can see if it's in the
[6406.16s -> 6408.16s]  catalog if it's in catalog we can
[6408.16s -> 6410.16s]  order it for you
[6410.16s -> 6412.16s]  if it's not then
[6412.16s -> 6414.16s]  then it's not
[6414.16s -> 6416.16s]  but
[6416.16s -> 6418.16s]  if we are working with
[6418.16s -> 6420.16s]  3 000 ideas
[6420.16s -> 6422.16s]  we assume that
[6422.16s -> 6424.16s]  we have what it takes to build software
[6424.16s -> 6426.16s]  mm-hmm
[6426.16s -> 6428.16s]  everybody can come with
[6428.16s -> 6430.16s]  his own
[6430.16s -> 6432.16s]  tooling so
[6432.16s -> 6434.16s]  mm-hmm
[6434.16s -> 6436.16s]  okay
[6436.16s -> 6438.16s]  good yeah we can go for lunch
[6438.16s -> 6440.16s]  okay
[6440.16s -> 6442.16s]  we can
[6442.16s -> 6444.16s]  leave it here
[6444.16s -> 6446.16s]  right
[6446.16s -> 6448.16s]  yes
[6448.16s -> 6450.16s]  uh
[6450.16s -> 6452.16s]  yes
[6452.16s -> 6454.16s]  yes
[6454.16s -> 6456.16s]  yes
[6456.16s -> 6458.16s]  yes
[6458.16s -> 6460.16s]  yes
[6460.16s -> 6462.16s]  yes
[6462.16s -> 6464.16s]  yes
[6464.16s -> 6466.16s]  yes
[6466.16s -> 6484.16s]  for lunch we need
[6484.16s -> 6485.86s]  ah
[6485.86s -> 6490.16s]  yeah
[6490.16s -> 6492.16s]  you have your yes
[6492.16s -> 6493.20s]  if you want soup or
[6493.20s -> 6493.76s]  something
[6493.76s -> 6494.26s]  Oh.
[6499.40s -> 6499.90s]  Oops.
[6523.76s -> 6543.04s]  This is a great view of Surabaya.
[6543.52s -> 6544.82s]  You are not here.
[6545.18s -> 6546.58s]  Last year, excuse me.
[6546.58s -> 6547.94s]  This is not here, right?
[6547.94s -> 6548.12s]  Yeah.
[6553.76s -> 6565.50s]  After holiday, so in August, I returned from holiday, and I saw my name on a slide.
[6566.60s -> 6571.24s]  I said, project manager, I didn't know anything.
[6572.06s -> 6574.02s]  So I called my father and said, what is this?
[6574.46s -> 6576.06s]  Yeah, I thought it was a good idea.
[6576.06s -> 6580.26s]  Because you entered your retirement date.
[6581.62s -> 6583.60s]  And coincidence.
[6583.76s -> 6588.62s]  Technically, it's the same date as that the bank has to be DORA compliant.
[6588.62s -> 6594.76s]  So I thought, aha, it's a good present for Lukas as his last project.
[6594.76s -> 6596.26s]  I said, aha, OK.
[6602.72s -> 6606.20s]  So one, we are sitting at two.
[6606.20s -> 6607.40s]  It's a one-floor level.
[6607.40s -> 6607.90s]  Wow.
[6613.76s -> 6622.78s]  Well, I'm going to sit in here, and then we're going to see what he's thinking.
[6622.78s -> 6623.08s]  Yeah.
[6623.08s -> 6624.10s]  So I'm going to sit here.
[6624.10s -> 6625.54s]  And we're going to jump.
[6625.54s -> 6626.14s]  OK?
[6626.14s -> 6627.48s]  Let's see what he's thinking.
[6628.12s -> 6628.50s]  Yeah.
[6628.50s -> 6629.46s]  That's what I think, yeah.
[6629.46s -> 6629.94s]  Let's see.
[6629.94s -> 6631.20s]  OK.
[6631.20s -> 6635.86s]  So I went to sit here, and I was going to do it for you.
[6635.86s -> 6636.54s]  OK.
[6636.54s -> 6641.48s]  And you can see it's the same pole?
[6641.48s -> 6642.78s]  Huh?
[6642.78s -> 6643.28s]  Yeah.
[6643.28s -> 6643.64s]  Yeah.
[6643.64s -> 6643.70s]  OK.
[6673.76s -> 6681.76s]  So I will just give you a quick tour of what is there.
[6681.76s -> 6682.76s]  Yes, okay.
[6689.76s -> 6690.76s]  So there are...
[6690.76s -> 6691.76s]  Do you want soup?
[6691.76s -> 6692.76s]  Yes, please.
[6692.76s -> 6693.76s]  Okay.
[6702.76s -> 6707.76s]  This is pasta, this is pop-up, so it's a little bit special.
[6707.76s -> 6709.76s]  I don't know what they make now.
[6718.76s -> 6719.76s]  This is other dishes.
[6719.76s -> 6720.76s]  Okay.
[6722.76s -> 6724.76s]  Yes, thank you.
[6738.76s -> 6739.76s]  Today, today.
[6740.76s -> 6741.76s]  Thank you.
[6741.76s -> 6743.76s]  No problem.
[6748.76s -> 6749.76s]  Okay.
[6749.76s -> 6751.76s]  I will find first a great room and I will come later.
[6812.76s -> 6842.74s]  Thank you.
[6842.76s -> 6872.74s]  Thank you.
